ID,Nodeno,LandUse,EvacID,NuminZone,Size,Town,Prob,ProbLow,ProbHigh,AddinZone,NuminTown,Counter,xcoord,ycoord
13193809,172661,EvacZone,61,2,266,RURAL,0.030152,0.000000,0.000000,533,8822.000000,1,747068.82251,5743230.80475
13193810,172662,Beach,63,1,100,GOR SOUTH,0.000000,0.000000,0.000000,1150,2300.000000,1,753128.71399,5720791.13233
13193811,172663,EvacZone,63,1,1150,GOR SOUTH,0.500000,0.000000,0.000000,1150,2300.000000,1,753106.68607,5720756.01328
13193812,172664,Caravan Park,216,1,300,CUMBERLAND RIVER,0.000000,0.000000,0.000000,171,171.000000,1,756924.90574,5726253.79922
13193813,172665,EvacZone,211,1,403,BIRREGURRA,0.500000,0.000000,0.000000,403,806.000000,1,743321.97342,5752746.13801
13193814,172666,Shops,211,1,300,BIRREGURRA,0.000000,0.000000,0.000000,403,806.000000,1,743497.21054,5753100.09307
13193815,172667,EvacZone,60,4,63,RURAL,0.007141,0.000000,0.000000,251,8822.000000,1,746928.28977,5752889.12759
13193816,172668,EvacZone,60,4,63,RURAL,0.007141,0.000000,0.000000,251,8822.000000,1,747929.40958,5756168.60637
13193817,172669,EvacZone,62,4,63,RURAL,0.007141,0.000000,0.000000,253,8822.000000,1,746242.57298,5746659.62266
13193818,172670,EvacZone,62,4,63,RURAL,0.007141,0.000000,0.000000,253,8822.000000,1,748516.43992,5749521.73272
13193819,172671,EvacZone,8,9,29,RURAL,0.003287,0.000000,0.000000,265,8822.000000,1,753084.65036,5753816.61863
13193820,172672,EvacZone,8,9,29,RURAL,0.003287,0.000000,0.000000,265,8822.000000,1,759054.10988,5751918.89673
13193821,172673,EvacZone,8,9,29,RURAL,0.003287,0.000000,0.000000,265,8822.000000,1,759897.29075,5753954.22426
13193822,172674,EvacZone,7,1,351,RURAL,0.039787,0.000000,0.000000,351,8822.000000,1,752752.15136,5743870.14467
13193823,172675,EvacZone,8,9,29,RURAL,0.003287,0.000000,0.000000,265,8822.000000,1,765650.43488,5753930.57744
13193824,172676,EvacZone,12,3,57,RURAL,0.006461,0.000000,0.000000,171,8822.000000,1,778001.88961,5754631.44216
13193825,172677,Beach,141,1,20,ANGLESEA,0.100000,0.000000,0.000000,74,7044.000000,1,776580.38162,5741915.32936
13193826,172679,Beach,151,1,200,ANGLESEA,0.600000,0.000000,0.000000,59,7044.000000,1,777498.11629,5741920.33946
13193827,172683,EvacZone,141,1,74,ANGLESEA,0.010505,0.000000,0.000000,74,7044.000000,1,776787.79156,5742055.04710
13193828,172684,EvacZone,146,1,99,ANGLESEA,0.014055,0.000000,0.000000,99,7044.000000,1,776955.86985,5742052.03546
13193829,172686,Golf Club,156,1,200,ANGLESEA,0.000000,0.000000,0.000000,0,7044.000000,1,777196.72455,5744398.58775
13193830,172687,EvacZone,156,1,118,ANGLESEA,0.016752,0.000000,0.000000,118,7044.000000,1,777281.57391,5744336.00520
13193831,172688,EvacZone,154,1,94,ANGLESEA,0.013345,0.000000,0.000000,94,7044.000000,1,777234.81615,5743780.01092
13193832,172689,EvacZone,182,3,16,ANGLESEA,0.002271,0.000000,0.000000,47,7044.000000,1,776767.09224,5743769.16372
