ID,Name,Type,Risk,Popularity,AREA,PERIMET,xcoord,ycoord
"652",Anglesea Main Beach,Beach,"2","4",67216.161621,2106.1754,778553.892547027,5743480.65991347
"716",Anglesea 3,Residential,"5","1",45221.596191,1413.5529,778884.759875751,5744768.54920968
"717",Anglesea 4,Residential,"5","1",71828.293457,1180.1872,779049.440749269,5744628.14219925
"730",Anglesea 17,Residential,"5","1",132614.228027,1571.0900,776630.329159443,5744042.23560606
"756",Anglesea 52,Residential,"5","1",132692.749023,2110.7896,776562.209130162,5743714.49959896
"758",Anglesea 54,Residential,"4","1",58871.228027,1236.6079,776797.995665044,5743729.77688661
"770",Anglesea 49,Residential,"4","4",46806.954590,1348.3085,778542.4993573,5744576.43001295
"772",Anglesea 31,Residential,"2","5",38530.365723,1864.4836,778238.09613956,5743897.03583255
"825",Point Roadknight,Beach,"3","4",17882.804688,975.6788,777605.885436768,5742005.94918103
"826",Anglesea Surf Club,Building,"4","3",1904.017578,166.4393,778106.809561851,5743357.64021425
"827",Anglesea River,River,"2","5",32670.624023,1467.7334,778332.606434002,5743835.27909509
"828",Anglesea Shops,NSP,"2","5",17281.213867,662.9479,778567.629793594,5744455.95718697
"829",Anglesea Hotel,Building,"2","5",9612.465820,390.3402,778370.129974752,5744461.62446548
"830",Anglesea Bowls Club,Building,"3","3",10096.485840,393.2259,778594.503654306,5744328.38361491
"831",Anglesea 1,Residential,"5","1",32671.075684,1290.9624,779062.694176386,5745020.35901548
"832",Anglesea 2,Residential,"5","1",32297.412598,792.6025,778939.553269502,5745051.79671907
"833",Anglesea 5,Residential,"5","1",54772.460938,1105.6380,778961.775705284,5744416.85784637
"834",Anglesea 6,Residential,"5","1",85688.519531,1588.5679,778875.886507952,5743934.58083197
"835",Anglesea 7,Residential,"5","1",85697.931152,1313.1025,778900.119543865,5744244.88141647
"836",Anglesea 8,Residential,"3","3",96999.415527,1492.3766,778670.39660523,5743864.67721122
"837",Anglesea 9,Residential,"4","2",67916.067871,1440.6907,777080.788010512,5741969.12646854
"838",Anglesea 10,Residential,"5","1",142899.447754,1790.9453,776770.097154007,5742177.17743806
"839",Anglesea 11,Residential,"5","1",89776.593262,1491.0362,776775.148450238,5742599.92326103
"840",Anglesea 12,Residential,"5","1",87813.900391,1274.4073,776856.040237483,5742940.89011596
"841",Anglesea 13,Residential,"4","2",52371.940918,976.2513,777144.138471877,5743335.40821493
"842",Anglesea 14,Residential,"4","2",105998.353516,1500.4731,777131.075800873,5742148.5826318
"843",Anglesea 15,Residential,"4","2",103045.574707,1400.5338,777155.754469546,5742403.71196433
"844",Anglesea 16,Residential,"4","2",41936.647461,882.0512,777175.729149815,5743159.71888982
"845",Anglesea 19,Residential,"5","1",65887.936523,1051.8355,776930.225381259,5743242.24905539
"846",Anglesea 20,Residential,"4","2",58740.728516,1853.2730,777397.561081605,5742253.41674541
"847",Anglesea 21,Residential,"4","2",63225.518555,1175.4459,777283.696158148,5742635.96640633
"848",Anglesea 22,Residential,"3","3",77838.689453,1219.2587,777371.744238016,5743570.15896428
"849",Anglesea 23,Residential,"3","3",105573.182129,1395.1490,777281.963585362,5743796.35647515
"850",Anglesea 25,Residential,"4","2",81042.982422,1737.5459,777497.644176066,5743348.25383131
"851",Anglesea 26,Residential,"4","2",139903.839355,1702.3388,777409.870499336,5744256.31335641
"852",Anglesea 27,Residential,"4","2",36502.248047,1091.7586,777332.544624755,5744543.990894
