"person","activity","leave_time"
"1","home","100"
"1","other","300"
"1","home","500"
"1","work","900"
"1","other","1700"
"1","home","1900"
"2","home","100"
"2","work","700"
"2","shops","1500"
"2","other","2100"
"2","home","2300"
"3","home","100"
"3","work","900"
"3","home","1700"
"3","other","2300"
"4","home","100"
"4","work","1100"
"4","other","1900"
"4","home","2100"
"5","home","100"
"5","shops","1100"
"5","beach","1300"
"5","home","1500"
"5","work","1700"
"6","home","100"
"6","other","700"
"6","shops","900"
"6","work","1100"
"6","home","1900"
"7","home","100"
"7","work","900"
"7","home","1700"
"8","home","100"
"8","work","700"
"8","home","1500"
"8","beach","1700"
"8","other","1900"
"8","home","2100"
"8","other","2300"
"9","home","100"
"9","shops","900"
"9","home","1100"
"9","work","1300"
"9","home","2100"
"10","work","100"
"10","home","900"
"10","beach","1100"
"10","home","1300"
"10","beach","1500"
"10","other","1700"
"10","home","1900"
"11","home","100"
"11","shops","1100"
"11","other","1300"
"11","home","1500"
"11","work","1700"
"12","home","100"
"12","work","500"
"12","beach","1300"
"12","other","1500"
"12","home","1700"
"12","other","2300"
"13","home","100"
"13","work","1100"
"13","shops","1900"
"13","home","2100"
"14","home","100"
"14","other","300"
"14","home","500"
"14","work","900"
"14","shops","1700"
"14","home","1900"
"15","home","100"
"15","work","900"
"15","home","1700"
"16","home","100"
"16","shops","900"
"16","home","1100"
"16","shops","1300"
"16","work","1700"
"17","home","100"
"17","work","900"
"17","home","1700"
"18","home","100"
"18","other","700"
"18","home","900"
"18","shops","1100"
"18","home","1300"
"18","shops","1500"
"18","home","1900"
"19","home","100"
"19","other","300"
"19","home","500"
"19","other","700"
"19","work","900"
"19","home","1700"
"20","home","100"
"20","work","900"
"20","home","1700"
"21","home","100"
"21","shops","1100"
"21","work","1700"
"22","home","100"
"22","work","1100"
"22","home","1900"
"22","other","2100"
"22","home","2300"
"23","home","100"
"23","other","700"
"23","home","900"
"23","beach","1100"
"23","shops","1300"
"23","work","1700"
"24","home","100"
"24","other","1500"
"24","work","1700"
"25","home","100"
"25","work","900"
"25","home","1700"
"25","other","2100"
"25","home","2300"
"26","home","100"
"26","shops","900"
"26","home","1100"
"26","shops","1300"
"26","beach","1500"
"26","work","1700"
"27","home","100"
"27","other","700"
"27","work","900"
"27","home","1700"
"28","home","100"
"28","work","900"
"28","shops","1700"
"28","home","1900"
"29","home","100"
"29","other","700"
"29","work","900"
"29","home","1700"
"30","home","100"
"30","work","700"
"30","shops","1500"
"30","other","1700"
"30","home","2100"
"31","home","100"
"31","other","700"
"31","home","900"
"31","beach","1300"
"31","other","1500"
"31","work","1700"
"32","home","100"
"32","work","700"
"32","shops","1500"
"32","home","1900"
"33","home","100"
"33","work","900"
"33","other","1700"
"33","home","1900"
"34","home","100"
"34","other","500"
"34","home","700"
"34","beach","900"
"34","shops","1100"
"34","home","1500"
"34","work","1700"
"35","home","100"
"35","beach","900"
"35","home","1100"
"35","other","1300"
"35","beach","1500"
"35","work","1700"
"36","home","100"
"36","work","900"
"36","shops","1700"
"36","home","2100"
"37","home","100"
"37","work","1300"
"37","home","2100"
"38","home","100"
"38","other","700"
"38","work","900"
"38","shops","1700"
"38","home","1900"
"39","home","100"
"39","work","900"
"39","shops","1700"
"39","other","1900"
"39","home","2300"
"40","home","100"
"40","shops","1100"
"40","home","1500"
"40","work","1700"
"41","home","100"
"41","work","900"
"41","shops","1700"
"41","home","1900"
"42","home","100"
"42","other","1300"
"42","home","1500"
"42","work","1700"
"43","home","100"
"43","work","500"
"43","beach","1300"
"43","shops","1700"
"43","home","1900"
"43","other","2300"
"44","work","100"
"44","beach","900"
"44","home","1100"
"44","other","1300"
"44","shops","1500"
"44","home","1700"
"45","home","100"
"45","work","700"
"45","beach","1500"
"45","shops","1700"
"45","home","1900"
"46","home","100"
"46","other","500"
"46","home","700"
"46","work","900"
"46","shops","1700"
"46","home","1900"
"47","home","100"
"47","shops","900"
"47","home","1100"
"47","shops","1300"
"47","work","1700"
"48","home","100"
"48","work","900"
"48","home","1700"
"49","home","100"
"49","shops","900"
"49","work","1300"
"49","home","2100"
"50","home","100"
"50","shops","900"
"50","home","1500"
"50","work","1700"
"51","home","100"
"51","work","900"
"51","home","1700"
"51","shops","1900"
"51","home","2100"
"52","home","100"
"52","other","500"
"52","home","700"
"52","shops","1500"
"52","work","1700"
"53","home","100"
"53","work","900"
"53","home","1700"
"54","home","100"
"54","other","300"
"54","home","500"
"54","work","900"
"54","shops","1700"
"54","home","1900"
"54","shops","2100"
"54","home","2300"
"55","home","100"
"55","work","900"
"55","home","1700"
"56","home","100"
"56","other","500"
"56","home","700"
"56","work","1300"
"56","home","2100"
"57","home","100"
"57","shops","1100"
"57","other","1300"
"57","home","1500"
"57","work","1700"
"58","home","100"
"58","beach","1500"
"58","work","1700"
"59","home","100"
"59","other","1100"
"59","home","1300"
"59","beach","1500"
"59","work","1700"
"60","home","100"
"60","work","1300"
"60","home","2100"
"61","home","100"
"61","work","900"
