"perse","activity","start_time","xcoord","ycoord"
"1","home","0000",779017,5764102
"1","shops","1126",759294.96025,5730628.35413
"1","other","1334",777888.65052,5762548.96247
"1","beach","1513",788528.10978,5750214.98843
"1","work","1746",786334.34808,5764005.76275
"1","home","2359",779017,5764102
"2","home","0000",782514,5762142
"2","other","0711",777888.65052,5762548.96247
"2","work","0902",771154.38036,5738979.16897
"2","other","1633",793534.67335,5769831.90665
"2","home","1946",782514,5762142
"2","shops","2107",789902.15203,5752276.48654
"2","home","2309",782514,5762142
"3","home","0000",774686,5760544
"3","other","0802",792837.45553,5769972.52889
"3","work","1158",779513.96035,5746544.88888
"3","home","1947",774686,5760544
"4","home","0000",773545,5753925
"4","other","0432",778546.67853,5744446.73313
"4","home","0848",773545,5753925
"4","shops","1419",790505.64718,5752116.69154
"4","work","1749",761856.89786,5763333.34179
"4","home","2359",773545,5753925
"5","home","0000",782013,5755372
"5","work","0819",759310.02792,5730461.39643
"5","home","1753",782013,5755372
"6","home","0000",775596,5758769
"6","beach","0832",778237.06886,5743964.79164
"6","work","1028",778210.63486,5744138.97464
"6","home","1860",775596,5758769
"7","home","0000",777858,5754745
"7","shops","0931",790505.64718,5752116.69154
"7","home","1136",777858,5754745
"7","work","1344",777196.72455,5744398.58775
"7","home","2035",777858,5754745
"8","home","0000",775561,5762569
"8","work","0837",777704.05806,5743980.73808
"8","home","1630",775561,5762569
"9","home","0000",786590,5763971
"9","work","0111",786334.34808,5764005.76275
"9","other","0949",793202.25852,5769898.53301
"9","beach","1212",790641.84348,5751394.20125
"9","shops","1557",777902.25512,5762634.6724
"9","home","1659",786590,5763971
"10","home","0000",772913,5752812
"10","work","0422",779012.88562,5744520.34118
"10","shops","1216",778279.66613,5743500.15352
"10","beach","1408",790006.00295,5750945.9283
"10","shops","1702",761647.31617,5762952.48569
"10","home","1913",772913,5752812
"11","home","0000",780802,5757670
"11","work","0838",790484.60538,5754857.18225
"11","home","1733",780802,5757670
"12","home","0000",782172,5755191
"12","work","0845",789848.05453,5752795.44381
"12","shops","1648",770351.40111,5738001.92605
"12","home","1850",782172,5755191
"13","home","0000",782696,5763014
"13","shops","1221",789902.15203,5752276.48654
"13","other","1504",759074.12513,5730215.34091
"13","work","1628",786334.34808,5764005.76275
"13","home","2359",782696,5763014
"14","home","0000",773933,5753135
"14","other","1129",778779.70651,5745319.61958
"14","shops","1514",778279.66613,5743500.15352
"14","beach","1750",777498.11629,5741920.33946
"14","home","1816",773933,5753135
"15","home","0000",777363,5755356
"15","other","0705",792803.19879,5769441.31381
"15","home","0837",777363,5755356
"15","work","1143",786334.34808,5764005.76275
"15","home","1940",777363,5755356
"16","home","0000",772041,5762738
"16","other","0622",777888.65052,5762548.96247
"16","shops","0836",777902.25512,5762634.6724
"16","beach","1259",786985.47082,5748372.83646
"16","shops","1522",777902.25512,5762634.6724
"16","work","1709",771154.38036,5738979.16897
"16","home","2359",772041,5762738
"17","home","0000",776225,5761626
"17","shops","1322",777902.25512,5762634.6724
"17","work","1716",790484.60538,5754857.18225
"17","home","2359",776225,5761626
"18","home","0000",776204,5756235
"18","work","0007",789848.05453,5752795.44381
"18","home","0926",776204,5756235
"18","beach","1542",783893.9946,5745788.90364
"18","shops","1604",777902.25512,5762634.6724
"18","home","1910",776204,5756235
"19","home","0000",781094,5757915
"19","other","0615",777888.65052,5762548.96247
"19","home","0826",781094,5757915
"19","shops","1339",790670.88255,5752085.50432
"19","work","1629",790484.60538,5754857.18225
"19","home","2359",781094,5757915
"20","home","0000",774650,5761546
"20","other","0621",777888.65052,5762548.96247
"20","work","0931",770405.93026,5737998.74274
"20","home","1625",774650,5761546
"20","shops","1855",789974.17245,5752810.54643
"20","home","2108",774650,5761546
"21","home","0000",778543,5761698
"21","work","0834",777196.72455,5744398.58775
"21","shops","1704",777902.25512,5762634.6724
"21","home","1954",778543,5761698
"22","home","0000",784941,5764011
"22","other","1253",789863.66729,5753170.47836
"22","beach","1456",794242.078,5754370.29551
"22","work","1750",761289.50657,5762130.29619
"22","home","2359",784941,5764011
"23","home","0000",780100,5756810
"23","beach","1028",789125.65437,5750638.52234
"23","other","1328",790829.71368,5755284.52525
"23","shops","1440",790505.64718,5752116.69154
"23","work","1712",793249.38427,5770567.6814
"23","home","2359",780100,5756810
"24","home","0000",781303,5753643
"24","work","1009",790106.78926,5751427.52566
"24","other","1958",793534.67335,5769831.90665
"24","home","2039",781303,5753643
"25","home","0000",780305,5761676
"25","work","0144",779513.96035,5746544.88888
"25","home","0833",780305,5761676
"25","other","1142",777888.65052,5762548.96247
"25","shops","1224",777902.25512,5762634.6724
"25","home","1604",780305,5761676
"25","other","1926",777888.65052,5762548.96247
"25","home","2059",780305,5761676
"26","home","0000",774288,5761555
"26","work","0137",786334.34808,5764005.76275
"26","home","0950",774288,5761555
"26","shops","1233",743497.21054,5753100.09307
"26","beach","1416",790006.00295,5750945.9283
"26","shops","1710",732598.98147,5756278.36455
"26","home","1900",774288,5761555
"27","home","0000",780818,5758437
"27","work","0921",793249.38427,5770567.6814
"27","other","1707",731819.1582,5755960.71592
"27","home","1859",780818,5758437
"27","other","2217",789863.66729,5753170.47836
"27","home","2359",780818,5758437
"28","home","0000",788134,5753206
"28","work","0909",789848.05453,5752795.44381
"28","other","1605",789863.66729,5753170.47836
"28","home","1836",788134,5753206
"29","home","0000",773066,5753933
"29","work","0931",770968.05532,5738364.60103
"29","shops","1706",790505.64718,5752116.69154
"29","home","1845",773066,5753933
"30","home","0000",784848,5758525
"30","work","0037",789848.05453,5752795.44381
"30","home","0912",784848,5758525
"30","other","1152",790829.71368,5755284.52525
"30","home","1249",784848,5758525
"30","shops","1526",790357.10312,5752184.65303
"30","home","1702",784848,5758525
"31","home","0000",773399,5754471
"31","beach","1004",753128.71399,5720791.13233
"31","shops","1217",759317.42351,5729964.86105
"31","beach","1452",778237.06886,5743964.79164
"31","work","1726",779012.88562,5744520.34118
"31","home","2359",773399,5754471
"32","home","0000",783707,5756202
"32","other","0333",789863.66729,5753170.47836
"32","home","0516",783707,5756202
"32","work","0950",792919.68545,5754526.38383
"32","home","1625",783707,5756202
"32","other","1826",790829.71368,5755284.52525
"32","home","2037",783707,5756202
"33","home","0000",780912,5756089
"33","work","0060",790098.62271,5754759.19639
"33","beach","0926",783893.9946,5745788.90364
"33","home","1007",780912,5756089
"33","other","1351",777888.65052,5762548.96247
"33","shops","1747",789902.15203,5752276.48654
"33","home","1938",780912,5756089
"34","home","0000",785571,5756138
"34","work","0556",790098.62271,5754759.19639
"34","home","1311",785571,5756138
"34","beach","1549",786985.47082,5748372.83646
"34","home","1704",785571,5756138
"34","shops","2006",790670.88255,5752085.50432
"34","home","2244",785571,5756138
"35","home","0000",784421,5755225
"35","work","0845",789848.05453,5752795.44381
"35","shops","1703",778433.82508,5744429.17115
"35","home","1925",784421,5755225
"36","home","0000",785854,5756261
"36","other","1126",789863.66729,5753170.47836
"36","home","1309",785854,5756261
"36","beach","1529",794242.078,5754370.29551
"36","work","1711",789848.05453,5752795.44381
"36","home","2359",785854,5756261
"37","home","0000",770826,5755645
"37","work","0915",777704.05806,5743980.73808
"37","shops","1601",790505.64718,5752116.69154
"37","home","1922",770826,5755645
"37","other","2105",792803.19879,5769441.31381
"37","home","2236",770826,5755645
"38","home","0000",771406,5762095
"38","other","0436",777888.65052,5762548.96247
"38","home","0621",771406,5762095
"38","other","1428",777888.65052,5762548.96247
"38","work","1719",789848.05453,5752795.44381
"38","home","2359",771406,5762095
"39","home","0000",775916,5759139
"39","work","0845",777196.72455,5744398.58775
"39","other","1619",777888.65052,5762548.96247
"39","home","1842",775916,5759139
"40","home","0000",784635,5763150
"40","other","0746",792837.45553,5769972.52889
"40","home","0938",784635,5763150
"40","shops","1123",790670.88255,5752085.50432
"40","work","1254",790098.62271,5754759.19639
"40","home","2127",784635,5763150
"41","home","0000",780973,5760648
"41","work","0943",786334.34808,5764005.76275
"41","home","1622",780973,5760648
"41","shops","1860",777902.25512,5762634.6724
"41","home","2033",780973,5760648
"42","home","0000",775952,5763333
"42","work","0959",759374.79717,5729757.06377
"42","shops","1615",777902.25512,5762634.6724
"42","home","1955",775952,5763333
"43","home","0000",773558,5754252
"43","other","0330",790829.71368,5755284.52525
"43","home","0515",773558,5754252
"43","other","0825",733346.70278,5756267.50925
"43","shops","1042",777902.25512,5762634.6724
"43","home","1447",773558,5754252
"43","work","1714",778649.17232,5743860.56825
"43","home","2359",773558,5754252
"44","home","0000",784112,5764183
"44","shops","1457",777902.25512,5762634.6724
"44","work","1719",786334.34808,5764005.76275
"44","home","2359",784112,5764183
"45","home","0000",778427,5759728
"45","other","1232",790829.71368,5755284.52525
"45","home","1532",778427,5759728
"45","work","1755",789848.05453,5752795.44381
"45","home","2359",778427,5759728
"46","home","0000",786787,5755060
"46","work","0934",790484.60538,5754857.18225
"46","shops","1603",790505.64718,5752116.69154
"46","home","1830",786787,5755060
"47","home","0000",779150,5763943
"47","work","0956",790098.62271,5754759.19639
"47","shops","1645",777902.25512,5762634.6724
"47","home","1942",779150,5763943
"47","other","2013",777888.65052,5762548.96247
"47","home","2224",779150,5763943
"48","home","0000",776519,5763967
"48","other","0652",777888.65052,5762548.96247
"48","work","0853",789848.05453,5752795.44381
"48","shops","1605",777902.25512,5762634.6724
"48","home","1929",776519,5763967
"48","other","2249",777888.65052,5762548.96247
"48","home","2359",776519,5763967
"49","home","0000",778171,5754666
"49","beach","0944",794242.078,5754370.29551
"49","home","1018",778171,5754666
"49","other","1244",777888.65052,5762548.96247
"49","work","1738",790098.62271,5754759.19639
"49","home","2359",778171,5754666
"50","home","0000",778693,5754822
"50","work","0857",778791.70915,5745372.55639
"50","shops","1719",790357.10312,5752184.65303
"50","home","1930",778693,5754822
"51","home","0000",781248,5752551
"51","other","0511",778546.67853,5744446.73313
"51","home","0636",781248,5752551
"51","work","0924",789434.99816,5751266.44194
"51","shops","1660",770351.40111,5738001.92605
"51","home","1900",781248,5752551
"52","home","0000",780605,5760434
"52","other","0641",777888.65052,5762548.96247
"52","work","0921",779513.96035,5746544.88888
"52","beach","1722",800742.88293,5757428.94421
"52","home","1950",780605,5760434
"53","home","0000",780916,5758769
"53","other","0707",777888.65052,5762548.96247
"53","home","0957",780916,5758769
"53","shops","1206",790505.64718,5752116.69154
"53","other","1546",777888.65052,5762548.96247
"53","work","1628",778210.63486,5744138.97464
"53","home","2359",780916,5758769
"54","home","0000",774903,5761817
"54","other","0523",790829.71368,5755284.52525
"54","work","0910",777196.72455,5744398.58775
"54","shops","1745",777902.25512,5762634.6724
"54","other","1956",793534.67335,5769831.90665
"54","home","2028",774903,5761817
"55","home","0000",779706,5757604
"55","beach","0804",776580.38162,5741915.32936
"55","home","1016",779706,5757604
"55","work","1207",789848.05453,5752795.44381
"55","home","2155",779706,5757604
"56","home","0000",782196,5759258
"56","work","1657",761856.89786,5763333.34179
"56","home","2359",782196,5759258
